"Date","Time","Open","High","Low","Close","Up","Down"
05/11/2022,01:22:16,4019.00,4019.00,4019.00,4019.00,0,12
05/11/2022,01:22:18,4019.00,4019.00,4019.00,4019.00,0,1
05/11/2022,01:22:19,4019.25,4019.25,4019.25,4019.25,7,0
05/11/2022,01:22:20,4019.25,4019.25,4019.25,4019.25,4,0
05/11/2022,01:22:22,4019.50,4019.50,4019.50,4019.50,8,0
05/11/2022,01:22:24,4019.50,4019.75,4019.50,4019.75,12,0
05/11/2022,01:22:26,4020.00,4020.25,4020.00,4020.25,7,0
05/11/2022,01:22:27,4020.25,4020.25,4020.25,4020.25,5,0
05/11/2022,01:22:28,4020.50,4020.75,4020.50,4020.50,3,3
05/11/2022,01:22:30,4020.75,4020.75,4020.75,4020.75,6,0
05/11/2022,01:22:31,4020.75,4020.75,4020.75,4020.75,7,0
05/11/2022,01:22:32,4021.00,4021.25,4021.00,4021.25,29,0
05/11/2022,01:22:33,4021.00,4021.00,4021.00,4021.00,0,13
05/11/2022,01:22:35,4021.00,4021.00,4020.50,4020.50,0,12
05/11/2022,01:22:37,4020.25,4020.25,4020.00,4020.00,0,6
05/11/2022,01:22:39,4020.00,4020.25,4020.00,4020.25,9,2
05/11/2022,01:22:40,4020.50,4020.50,4020.50,4020.50,5,0
05/11/2022,01:22:41,4020.50,4020.50,4020.50,4020.50,7,0
05/11/2022,01:22:42,4020.50,4020.75,4020.50,4020.75,14,0
05/11/2022,01:22:43,4020.50,4020.50,4020.25,4020.50,1,8
05/11/2022,01:22:44,4020.25,4020.25,4020.25,4020.25,0,1
05/11/2022,01:22:45,4020.50,4020.50,4020.50,4020.50,2,0
05/11/2022,01:22:46,4020.50,4020.50,4020.50,4020.50,1,0
05/11/2022,01:22:47,4020.25,4020.25,4020.25,4020.25,0,14
05/11/2022,01:22:50,4020.75,4020.75,4020.75,4020.75,3,0
05/11/2022,01:22:53,4020.50,4020.50,4020.50,4020.50,0,10
05/11/2022,01:22:55,4020.75,4020.75,4020.75,4020.75,2,0
05/11/2022,01:22:56,4020.75,4020.75,4020.75,4020.75,1,0
05/11/2022,01:22:58,4020.75,4020.75,4020.75,4020.75,1,0
05/11/2022,01:23:00,4020.75,4021.00,4020.75,4020.75,8,1
05/11/2022,01:23:02,4020.75,4022.25,4020.75,4021.75,158,9
05/11/2022,01:23:03,4022.00,4022.00,4022.00,4022.00,15,0
05/11/2022,01:23:04,4021.75,4021.75,4021.25,4021.75,3,30
05/11/2022,01:23:05,4021.75,4021.75,4021.75,4021.75,2,0
05/11/2022,01:23:06,4021.50,4021.50,4021.25,4021.50,3,11
05/11/2022,01:23:07,4021.75,4021.75,4021.75,4021.75,3,0
05/11/2022,01:23:08,4021.75,4021.75,4021.75,4021.75,3,0
05/11/2022,01:23:09,4021.75,4021.75,4021.75,4021.75,2,0
05/11/2022,01:23:10,4021.75,4023.00,4021.75,4022.25,103,7
05/11/2022,01:23:11,4022.50,4023.00,4022.50,4022.50,37,34
